total,night,noon,ja,en,url,0,1,2,3,4,5
,,,,,,3.67,3.67,-,モダン和食 サル ドゥ マキノ,salle de Makino,https://tabelog.com/tw/tokyo/A1307/A130701/13161511/
,,,,,,3.67,3.67,-,南麻布 あら喜,Minamiazabuaraki,https://tabelog.com/tw/tokyo/A1307/A130702/13003507/
,,,,,,3.67,3.67,-,すず木,Suzuki,https://tabelog.com/tw/tokyo/A1313/A131301/13119576/
,,,,,,3.67,3.58,3.70,くろす,Kurosu,https://tabelog.com/tw/tokyo/A1309/A130905/13135191/
,,,,,,3.67,3.65,3.61,こまつ,Komatsu,https://tabelog.com/tw/tokyo/A1302/A130203/13170814/
,,,,,,3.67,3.67,-,鮨わたなべ,Sushiwatanabe,https://tabelog.com/tw/tokyo/A1309/A130903/13170589/
,,,,,,3.67,3.80,3.61,サンパ,SYMPA,https://tabelog.com/tw/tokyo/A1319/A131906/13090634/
,,,,,,3.67,3.67,-,小山,Koyama,https://tabelog.com/tw/tokyo/A1329/A132904/13091479/
,,,,,,3.67,3.67,-,光壽おおやま,Koujuooyama,https://tabelog.com/tw/tokyo/A1322/A132203/13219387/
,,,,,,3.67,3.62,3.62,銀座 古郁,Ginzakoiku,https://tabelog.com/tw/tokyo/A1301/A130101/13166569/
,,,,,,3.67,3.67,-,Nomka,Nomka,https://tabelog.com/tw/tokyo/A1323/A132305/13179510/
,,,,,,3.67,3.30,3.61,マーゴ,margo,https://tabelog.com/tw/tokyo/A1317/A131701/13005150/
,,,,,,3.67,3.67,-,金多楼,Kintarou,https://tabelog.com/tw/tokyo/A1317/A131705/13013756/
,,,,,,3.67,3.80,3.50,トラットリア ダディーニ,TRATTORIA　DADINI,https://tabelog.com/tw/tokyo/A1323/A132301/13174990/
,,,,,,3.67,3.67,-,ふぐ赤坂　めうが,Fuguakasakamiuga,https://tabelog.com/tw/tokyo/A1316/A131602/13013007/
,,,,,,3.67,3.59,3.56,マ プール,Mapuru,https://tabelog.com/tw/tokyo/A1310/A131004/13206266/
,,,,,,3.67,3.67,-,シセンチャイニーズレストラン 南青山,Shisenchainizuresutoramminamiaoyama,https://tabelog.com/tw/tokyo/A1307/A130703/13229559/
,,,,,,3.66,3.58,3.70,ラーメン二郎 三田本店,Ramenjirou,https://tabelog.com/tw/tokyo/A1314/A131402/13006051/
,,,,,,3.66,3.75,3.66,並木藪蕎麦,Namikiyabusoba,https://tabelog.com/tw/tokyo/A1311/A131102/13003650/
,,,,,,3.66,3.66,3.58,ラミティエ,Ramithie,https://tabelog.com/tw/tokyo/A1305/A130503/13004131/
,,,,,,3.66,3.52,3.65,カレーハウス チリチリ,Curry House TIRI TIRI  ,https://tabelog.com/tw/tokyo/A1303/A130301/13002119/
,,,,,,3.66,3.58,3.63,ザ・テラス,THE TERRACE,https://tabelog.com/tw/tokyo/A1303/A130302/13004488/
,,,,,,3.66,3.63,3.70,ラーメン屋 トイ・ボックス,ra-menyatoibokkusu,https://tabelog.com/tw/tokyo/A1324/A132401/13162973/
,,,,,,3.66,3.77,3.63,ポンチ軒,Ponchiken,https://tabelog.com/tw/tokyo/A1310/A131002/13141456/
,,,,,,3.66,3.62,3.70,ダルマサーガラ,Dharmasagara,https://tabelog.com/tw/tokyo/A1301/A130101/13002374/
